ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
2386,2,11020,,PlotIcon\UI_PlotIcon_Shikongtao1.png,9
2387,1,,1,,9
2388,1,,那是一个与众多平静、悠然的上午并无差别的早晨，当日暮第一缕阳光透过薄雾照进我的房间时，我还对即将到来的危机毫无防备。,,9
2389,1,,咕、咕咕、……,,9
2390,1,,疲惫的目光不由自主地挪向声音传来的方向，一道雪白率先映入眼帘，我定睛看去，这才发觉那竟是我和宝妮间联系所用的信鸽。,,9
2391,1,,困倦的颓意顿时一扫而空，我连忙翻身从床上坐起，出于冒险者的本能，我意识到将有大事发生。,,9
2392,1,,我将信件从白鸽的腿上取下，仔仔细细地看了数遍，信上的内容让我原本舒展的眉头不由得蹙紧：,,9
2393,1,,冒险者，近日斐扬附近的村庄发生诡异事件，已经造成了小范围的恐慌。目前我分身乏术，急需你的帮助探查此事的真相。如果你有兴趣，就来斐扬找我吧！,,9
2394,1,,循着信上的指示，我来到了斐扬，宝妮果然已在这里等候多时，见到我的到来，她眉宇间露出喜色，看起来非常高兴。在宝妮的介绍下，我顺利地结识了来自加拉尔研究所的两位研究员——奥斯蒙德和马库斯，历经数日，我们一同来到了斐扬一处偏远的村庄。,,9
2395,1,,与得到的情报一样，变异的巨大宠物在纵横错落的田野中横冲直撞，染上疯病的村民双目猩红，整个人都像是发了狂似的，不停地宣扬自己曾到达神迹。村中人心惶惶，仿佛有一片浓郁的阴云笼罩着整座村庄。,,9
2396,1,,在村长的帮助下，我们很快锁定了一名遭受污染的村民。那村民起初口吐白沫，神智模糊，看起来状态十分萎靡，经过我们一番治疗，才算是恢复了正常。,,9
2397,1,,循着村民的提示，我们决定深入斐扬南部茫茫的大山深处。途中，遭遇了不少因为污染而产生变异的巨大化魔物，但都被我一一拔除。,,9
2398,1,,很快，奥斯蒙德借由此发现了疯病污染的源头。原来，大家都是受到了一种诡异的魔法射线的影响。可令人奇怪的是，这种射线的技术早应伴随着古国的覆灭一同消失在历史的长河之中了。,,9
2399,1,,循着调查获得的线索，我们在茫茫的林海中穿行，同行的两位研究员显得有些惶惶不安，我想，第一次与正常世界相隔的境遇使他们发慌，在这片茂密的森然林海，无论信奉的哪位神明也无法降临，恐怕正是出于这种原因，才使得诸位内心经受如此巨大的折磨吧。,,9
2400,1,,终于，犹如拨开云雾般，我们走出了被巨树包裹的世界，率先映入眼眸的，是一块完整的巨大山体。,,9
2401,1,,山体高耸入云，几乎看不见它的尽头，表面则满是凸起的岩石，四周遍布着斑驳的裂痕和碎石块，内里却隐隐有某种奇异的金色光芒闪烁。,,9
2402,1,,金光闪动不定，似乎正以某种特殊的规律运转，这一奇特的景象映照眼前，让原本因刚走出密林而稍有松懈的我们，神经再次紧绷起来……,,9
2403,2,11022,,PlotIcon\UI_PlotIcon_Shikongtao_yjqb.png,9
2404,1,,2,,9
2405,1,,经过一段时间的挖掘，马库斯辨识出眼前的山体上安置着一个古老神秘的封印阵法。原本以他们的能力应该无法破解这种强大的阵法，但随着时间流逝，法阵的威力也已然大不如前，山体中逸散的金光便是最好的证据。,,9
2406,1,,很快，马库斯引导我们将材料收集齐，布置了一个强大的破解阵法。伴随着原本安置在山体上的古老阵法的崩解，一阵阵巨大的轰鸣在我耳侧响起。,,9
2407,1,,轰、轰隆隆……,,9
2408,1,,原本耸立在我们面前的巨大山体竟撑开了两扇门扉，一条狭长的通道顿时呈现在眼前，阴冷潮湿的寒气随之迎面袭来，空气中仿佛夹杂着某种不知名的味道。,,9
2409,1,,我的身体不由自主地打了个寒颤，本能地感觉，我们似乎打开了一条通往地狱的路……,,9
2410,1,,“还要……深入吗？”奥斯蒙德开口问询着我们两个的意见，但语气中却分明带着一丝犹豫。,,9
2411,1,,“当然，既然都到这里了，哪有不进去的道理？”马库斯虽然同样面色异常，但言辞却十分坚定，仿佛带着某种不容置疑的意味。,,9
2412,1,,出于冒险的心思，我也没有退却的意思。况且，围绕村庄的危机尚未消除，倘若我们就此袖手而去，临近的村庄难免遭逢灾祸。,,9
2413,1,,我想，奥斯蒙德自然也晓得其中的道理。只是那种由心而生的恐惧感一时战胜了理性，想到这里，我不禁侧目望向马库斯。,,9
2414,1,,与奥斯蒙德不同的是，那个男人虽然面容铁青、牙齿微颤，看起来也被吓得不轻，但眼神却颇为坚毅，令我不由得心生佩服。,,9
2415,1,,最终，我们一行三人还是踏上了那条魔鬼般的通路。,,9
2416,1,,前往地狱的路要比想象中好走太多，实际踏上通道的时候，那股不适感虽然并未完全消失，但明显稍有减缓。,,9
2417,1,,兴许是我们自己给予了自己太大压力了吧，我在心底暗想。,,9
2418,1,,通道起初颇为狭窄，但越往深处前行，通道就越发宽敞起来，迎着自壁顶散落的尘土和潮湿阴冷的水汽，我们走到了通道的尽头。,,9
2419,1,,四下黑茫茫的一片，我激起一个强光魔法照亮了黑暗中的一角。,,9
2420,1,,眼前的景象将我们三人惊呆了，三个人不约而同地伫立在原地，犹如被神秘的美杜莎凝视了一般。,,9
2421,1,,在强光魔法的照射下，我们这才察觉自己正身处一座衰颓破败的巨大研究所。从那些歪斜、倾倒的废弃电子仪器上隐约能看出其曾经蕴含的科技之高明。,,9
2422,1,,我们渐行渐远，在一栋倒塌的房屋造成的乱石瓦砾之间，终于发掘出一块较为完整的石壁。,,9
2423,1,,马库斯紧紧地盯着倒塌的石壁，呼吸显得有些局促，脸颊似乎也因为兴奋而微微泛红，我第一次在他的眼神中看到了除坚定以外的神色。,,9
2424,1,,“这…这是……由佩雷斯！”,,9
2425,1,,发现由佩雷斯文明的标志让两位研究员显得异常兴奋和激动，坦白来说，我对这种现象感到有些不安。,,9
2426,1,,现在，我们三个人中的两位都由于这遗迹中的物事处于非凡的亢奋状态，对于冒险来说，这绝对不是什么好兆头。,,9
2427,1,,我决定趁着我头脑尚且清晰的时候带领两位继续探索，但没走出多远便被马库斯劝阻了去路。,,9
