Id,Name,Desc,information,comment,Introduction,PresentID,Scale,Picture,Prefab,MercenaryAtlas,MercenaryIcon,SlimeAtlas,SlimeIcon,EntityID,SortID,RecruitTask,Skill,DefaultSkill,Point,Duty,BaseAttribute,AttributeGrowth,AdvancedCondition,AdvancedButton,IsFAQImport
编号（进阶id须遵循自增长。末尾判定进阶状态，如末尾1均是进阶前，末尾2均是第一次进阶后,名字,生命体介绍,生命体信息（生日日期|称号|爱好）,备注,一句话介绍（用在获取生命体界面）,模板ID,模型放大倍数,原画,显示模型,生命体头像图集,生命体头像,生命体技能图像图集,生命体技能图像,对应EntityID,排序ID,招募任务ID,技能,天生技能,加点,职责定位,基础属性,升级属性成长,进阶条件\n1条件是角色职业条件，2条件是生命体等级条件\n1=职业ID|2=生命体等级,进阶按钮,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据
101,丽芙,丽芙是结合森林精灵的基因改造而来的生命体，拥有温和的性格和善良的心灵，丽芙有着出色的回血能力和增益能力，可以主动为炼金术士恢复生命值，独特的精灵之心能为主人减少技能的吟唱时间，从而增强主人的技能释放速率,生日:9月25日birthday|爱好:园艺|性格:温顺,,来自茂盛树林的森林精灵,9101,1,Career\Life_lifu01.png,Life_Lif_YiJie,Life_Alchemist_Head,Monster_LiFu01.png,Skill_Alchemist,UI_Icon_lifu01.png,201,4,3012080=3012080,621002=10=1=1|621003=10=0=1|621004=5=0=1|621005=10=1=1|621007=5=0=1,621001=1=1=1|621006=10=1=1,200003,治疗辅助,0=47=100|0=49=100|0=72=-12|0=75=4|0=51=10|0=53=0,13|4|0|4|1|1,1=6202|2=70,进阶,
102,丽芙,丽芙是结合森林精灵的基因改造而来的生命体，拥有温和的性格和善良的心灵，丽芙有着出色的回血能力和增益能力，可以主动为炼金术士恢复生命值，独特的精灵之心能为主人减少技能的吟唱时间，从而增强主人的技能释放速率,生日:9月25日birthday|爱好:园艺|性格:温顺,进阶,来自茂盛树林的森林精灵,9102,1,Career\Life_lifu02.png,Life_Lif_ErJie,Life_Alchemist_Head,Monster_LiFu02.png,Skill_Alchemist,UI_Icon_lifu02.png,202,4,3030010=3030020,621102=10=1=1|621003=10=0=1|621004=5=0=1|621105=10=1=1|621007=5=0=1,621101=1=1=1|621106=10=1=1,200003,治疗辅助,0=47=635|0=14=7|0=18=2|0=20=3|0=22=4|0=24=2|0=49=260|0=72=-10|0=75=160|0=51=50|0=53=40,25|0|0|0|0|0|6|0|4|1|1,,二次进阶,1
111,艾咪斯可鲁,哎咪斯可鲁是所有生命体里最好驯服的，同时也是最忠实的，拥有着出色的防御能力，可以帮助主人吸引仇恨和吸收伤害,生日:3月3日birthday|爱好:素食|性格:坚韧,,绵羊与高科技结合的产物,9103,1,Career\Life_kelu01.png,Life_AiMiSiKeLu_YiJie,Life_Alchemist_Head,Monster_AiMiSiKeLu01.png,Skill_Alchemist,UI_Icon_AiMiSiKeLu01.png,203,5,3028010=3028030,622001=10=1=1|622002=5=0=1|622003=5=0=1|622004=10=0=1|622005=10=1=1,622007=1=1=1|622006=10=1=1,300001,前排坦克,0=47=100|0=49=100|0=75=2|0=51=10|0=53=0,9|8|2|1|1,1=6202|2=70,进阶,
112,艾咪斯可鲁,哎咪斯可鲁是所有生命体里最好驯服的，同时也是最忠实的，拥有着出色的防御能力，可以帮助主人吸引仇恨和吸收伤害,生日:3月3日birthday|爱好:素食|性格:坚韧,进阶,绵羊与高科技结合的产物,9104,1,Career\Life_kelu02.png,Life_AiMiSiKeLu_ErJie,Life_Alchemist_Head,Monster_AiMiSiKeLu02.png,Skill_Alchemist,UI_Icon_AiMiSiKeLu02.png,204,5,3034010=3034020,622101=10=1=1|622002=5=0=1|622003=5=0=1|622004=10=0=1|622105=10=1=1,622107=1=1=1|622106=10=1=1,300001,前排坦克,0=47=429|0=14=3|0=16=3|0=18=2|0=20=3|0=22=3|0=24=4|0=49=420|0=75=80|0=51=50|0=53=40,18|0|0|0|0|0|0|16|2|1|1,,二次进阶,1
121,飞里乐,飞里乐长得和普通的鹰隼没有太大的区别，但其实，它不属于任何一种鹰隼，是炼金术士结合了各种鹰隼的基因从而融合出来的新的品种,生日:2月12日birthday|爱好:|性格:活泼、开朗,,悬崖峭壁上的鹰隼,9105,1,Career\Life_feile01.png,Life_FeiLiLe_YiJie,Life_Alchemist_Head,Monster_FeiLiLe01.png,Skill_Alchemist,UI_Icon_FeiLiLe01.png,205,1,3029010=3029030,623002=5=0=1|623003=5=0=1|623004=10=1=1|623005=10=1=1|623007=10=0=1,623001=1=1=1|623006=10=1=1,400001,近战输出,0=47=100|0=49=100|0=75=2|0=51=10|0=53=0,10|9|2|1|1,1=6202|2=70,进阶,
122,飞里乐,飞里乐长得和普通的鹰隼没有太大的区别，但其实，它不属于任何一种鹰隼，是炼金术士结合了各种鹰隼的基因从而融合出来的新的品种,生日:2月12日birthday|爱好:吃甜点、拍照、养宠物|性格:活泼、开朗,进阶,悬崖峭壁上的鹰隼,9106,1,Career\Life_feile02.png,Life_FeiLiLe_ErJie,Life_Alchemist_Head,Monster_FeiLiLe02.png,Skill_Alchemist,UI_Icon_FeiLiLe02.png,206,1,3033010=3033020,623002=5=0=1|623003=5=0=1|623104=10=1=1|623105=10=1=1|623007=10=0=1,623101=1=1=1|623106=10=1=1,400001,近战输出,0=47=485|0=16=8|0=18=1|0=20=4|0=22=2|0=24=3|0=49=460|0=75=80|0=51=50|0=53=40,18|0|0|0|0|0|18|2|1|1,,二次进阶,1
131,巴尼米乐斯,"巴尼米乐斯是提取了沼泽怪物的基因，经过长时间培养，而产生的独特生物,不要小看巴尼米乐斯的能力，在可爱的外表之下，巴尼米乐斯在战斗中可以提供不俗的远程魔法输出，并且在一些特殊情况下还可以进行分裂，爆发出更强大的能量！",生日:5月14日birthday|爱好:吃甜食|性格:可爱,,沼泽生物基因改造的产物,9107,1,Career\Life_bani01.png,Life_BaNiMiLeSi_YiJie,Life_Alchemist_Head,Monster_BaNiMiLeSi01.png,Skill_Alchemist,UI_Icon_BaNiMiLeSi01.png,207,3,3027010=3027040,624002=10=1=1|624003=5=0=1|624004=10=0=1|624005=10=1=1|624007=5=0=1,624001=1=1=1|624006=10=1=1,500001,远程输出,0=47=100|0=49=100|0=72=-18|0=75=2|0=51=10|0=53=0,12|4|0|2|1|1,1=6202|2=70,进阶,
132,巴尼米乐斯,"巴尼米乐斯是提取了沼泽怪物的基因，经过长时间培养，而产生的独特生物,不要小看巴尼米乐斯的能力，在可爱的外表之下，巴尼米乐斯在战斗中可以提供不俗的远程魔法输出，并且在一些特殊情况下还可以进行分裂，爆发出更强大的能量！",生日:5月14日birthday|爱好:吃甜食|性格:可爱,进阶,沼泽生物基因改造的产物,9108,1,Career\Life_bani02.png,Life_BaNiMiLeSi_ErJie,Life_Alchemist_Head,Monster_BaNiMiLeSi02.png,Skill_Alchemist,UI_Icon_BaNiMiLeSi02.png,208,3,3031010=3031020,624102=10=1=1|624003=5=0=1|624004=10=0=1|624105=10=1=1|624007=5=0=1,624101=1=1=1|624106=10=1=1,500001,远程输出,0=47=475|0=14=3|0=16=1|0=18=4|0=20=3|0=22=2|0=24=3|0=49=260|0=72=-12|0=75=80|0=51=50|0=53=40,24|0|0|0|0|0|0|6|0|2|1|1,,二次进阶,1
141,米雅,米雅是一只形态像人的猫型生命体，动作十分的矫健，同时技能还能魅惑对方，是少数有控制技能的生命体,生日:12月24日birthday|爱好:恶作剧、玩绒线球|性格:黏人,,脾气倔强的猫妖,9109,1,Career\Life_yili01.png,Life_MiYa_YiJie,Life_Alchemist_Head,Monster_MiYa01.png,Skill_Alchemist,UI_Icon_MiYa01.png,209,2,3026010=3026040,625002=10=1=1|625003=5=0=1|625004=10=1=1|625006=5=0=1|625007=10=0=1,625001=1=1=1|625005=10=1=1,700001,近战输出,0=47=100|0=49=100|0=72=-10|0=75=2|0=51=10|0=53=0,10|4|0|2|1|1,1=6202|2=70,进阶,
